week_,type_,show_title,season_title,weekly_hours_viewed,rating_,category_,prod_country_
2022-04-03,Films (Non-English),All Hail,N/A,24280000,TV-MA,"Comedies, Dramas",Argentina
2022-04-03,Films (Non-English),Black Crab,N/A,11270000,TV-MA,Action & Adventure,Sweden
2022-04-03,Films (Non-English),In Good Hands,N/A,10810000,TV-MA,Romantic Movies,Turkey
2022-04-03,Films (Non-English),Ya veremos,N/A,3850000,,,
2022-04-03,Films (Non-English),Without Saying Goodbye,N/A,3500000,,,
2022-04-03,Films (Non-English),Battle: Freestyle,N/A,3440000,,,
2022-04-03,Films (Non-English),Captain Nova,N/A,3290000,,,
2022-04-03,Films (Non-English),'83,N/A,3120000,,,
2022-04-03,Films (Non-English),Forever Out of My League,N/A,2770000,,,
2022-04-03,Films (Non-English),Through My Window,N/A,2410000,PG-13,Romantic Movies,Spain
2022-04-03,TV (English),Bridgerton,Bridgerton: Season 2,251740000,TV-MA,"Romantic TV Shows, TV Dramas",United States
2022-04-03,TV (English),Is It Cake?,Is It Cake?: Season 1,26510000,TV-MA,"Reality TV, Food & Travel",United States
2022-04-03,TV (English),Inventing Anna,Inventing Anna: Limited Series,21960000,TV-PG,Drama,United States
2022-04-03,TV (English),The Last Kingdom,The Last Kingdom: Season 5,19110000,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",United Kingdom
2022-04-03,TV (English),Top Boy,Top Boy: Season 2,16490000,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Brazil
2022-04-03,TV (English),PIECES OF HER,PIECES OF HER: Season 1,16220000,TV-PG,Crime TV Shows,United States
2022-04-03,TV (English),Vikings: Valhalla,Vikings: Valhalla: Season 1,10050000,TV-PG,Action & Adventure,United States
2022-04-03,TV (English),Taboo,Taboo: Season 1,8310000,,,
2022-04-03,TV (Non-English),Business Proposal,Business Proposal: Season 1,32520000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-03,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,26210000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-03,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,15230000,TV-MA,Romantic TV Shows,Colombia
2022-04-03,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,15020000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-03,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,13510000,TV-MA,"Comedies, Romantic TV Shows, TV Dramas",South Korea
2022-04-03,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10890000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-04-03,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,9430000,TV-MA,"Horror, Action, Thriller",South Korea
2022-04-03,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,9340000,TV-MA,Crime TV Shows,South Korea
2022-04-03,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,6640000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Colombia
2022-04-03,TV (Non-English),Pasión de Gavilanes,Pasión de Gavilanes: Season 1,5530000,TV-14,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Colombia, United States"
2022-03-27,Films (English),The Adam Project,N/A,31700000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-03-27,Films (English),Rescued by Ruby,N/A,17030000,,,
2022-03-27,Films (English),Gemini Man,N/A,16450000,,,
2022-03-27,Films (English),Windfall,N/A,15490000,,,
2022-03-27,Films (English),John Wick: Chapter 2,N/A,7800000,,,
2022-03-27,Films (English),The Dead Don't Die,N/A,7570000,,,
2022-03-27,Films (English),6 Underground,N/A,7440000,R,"Action & Adventure, Dramas",United States
2022-03-27,Films (English),A Walk Among the Tombstones,N/A,6740000,,,
2022-03-27,Films (English),Shrek,N/A,6350000,PG,"Comedies, Action & Adventure",United States
2022-03-27,Films (English),Despicable Me 2,N/A,5750000,,,
2022-03-27,Films (Non-English),Black Crab,N/A,40510000,TV-MA,Action & Adventure,Sweden
2022-03-27,Films (Non-English),In Good Hands,N/A,28930000,TV-MA,Romantic Movies,Turkey
2022-03-27,Films (Non-English),Without Saying Goodbye,N/A,13850000,,,
2022-03-27,Films (Non-English),'83,N/A,10530000,,,
2022-03-27,Films (Non-English),The Bombardment,N/A,3170000,,,
2022-03-27,Films (Non-English),Restless,N/A,3030000,,,
2022-03-27,Films (Non-English),Through My Window,N/A,2520000,PG-13,Romantic Movies,Spain
2022-03-27,Films (Non-English),Today We Fix the World,N/A,2270000,,,
2022-03-27,Films (Non-English),The Pirates: The Last Royal Treasure,N/A,2260000,,,
2022-03-27,Films (Non-English),Love Like the Falling Petals,N/A,2210000,,,
2022-03-27,TV (English),Bridgerton,Bridgerton: Season 2,193020000,TV-MA,"Romantic TV Shows, TV Dramas",United States
2022-03-27,TV (English),Is It Cake?,Is It Cake?: Season 1,48940000,TV-MA,"Reality TV, Food & Travel",United States
2022-03-27,TV (English),Top Boy,Top Boy: Season 2,30640000,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Brazil
2022-03-27,TV (English),Inventing Anna,Inventing Anna: Limited Series,28990000,TV-PG,Drama,United States
2022-03-27,TV (English),The Last Kingdom,The Last Kingdom: Season 5,27820000,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",United Kingdom
2022-03-27,TV (English),PIECES OF HER,PIECES OF HER: Season 1,21770000,TV-PG,Crime TV Shows,United States
2022-03-27,TV (English),Bad Vegan: Fame. Fraud. Fugitives.,Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,17570000,TV-MA,"Docuseries, Crime TV Show, True Crime Documentaries",United States
2022-03-27,TV (English),Human Resources,Human Resources: Season 1,16230000,TV-MA,Comedies,United States
2022-03-27,TV (Non-English),Business Proposal,Business Proposal: Season 1,30940000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-27,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,24150000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-27,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,18270000,TV-MA,Romantic TV Shows,Colombia
2022-03-27,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,14480000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-27,TV (Non-English),Cracow Monsters,Cracow Monsters: Season 1,13260000,TV-MA,Sci-Fi & Fantasy,Poland
2022-03-27,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,12510000,TV-MA,Crime TV Shows,South Korea
2022-03-27,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,11380000,TV-MA,"Horror, Action, Thriller",South Korea
2022-03-27,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11160000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-03-27,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,10430000,TV-MA,"Comedies, Romantic TV Shows, TV Dramas",South Korea
2022-03-27,TV (Non-English),Pedal to Metal,Pedal to Metal: Season 1,8150000,TV-MA,TV Dramas,Mexico
2022-03-20,Films (English),The Adam Project,N/A,85360000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-03-20,Films (English),Rescued by Ruby,N/A,19940000,,,
2022-03-20,Films (English),Gemini Man,N/A,11840000,,,
2022-03-20,Films (English),The Ice Road,N/A,11650000,PG-13,Action & Adventure,"United States, Canada"
2022-03-20,Films (English),The Weekend Away,N/A,9240000,TV-MA,Crime Movies,United States
2022-03-20,Films (English),A Walk Among the Tombstones,N/A,9030000,,,
2022-03-20,Films (English),Windfall,N/A,8360000,,,
2022-03-20,Films (English),Shrek,N/A,7870000,PG,"Comedies, Action & Adventure",United States
2022-03-20,Films (English),Shrek 2,N/A,6750000,PG,"Comedies, Action & Adventure",United States
2022-03-20,Films (English),A Madea Homecoming,N/A,5790000,TV-MA,Comedies,United States
2022-03-20,Films (Non-English),Black Crab,N/A,35920000,TV-MA,Action & Adventure,Sweden
2022-03-20,Films (Non-English),Without Saying Goodbye,N/A,12930000,,,
2022-03-20,Films (Non-English),The Bombardment,N/A,10500000,,,
2022-03-20,Films (Non-English),Badhaai Do,N/A,6130000,,,
2022-03-20,Films (Non-English),Restless,N/A,4560000,,,
2022-03-20,Films (Non-English),Chernobyl 1986,N/A,4490000,TV-MA,Documentaries,Russia
2022-03-20,Films (Non-English),The Pirates: The Last Royal Treasure,N/A,4390000,,,
2022-03-20,Films (Non-English),One Piece Film: Strong World,N/A,3490000,,,
2022-03-20,Films (Non-English),Through My Window,N/A,3050000,PG-13,Romantic Movies,Spain
2022-03-20,Films (Non-English),Today We Fix the World,N/A,2640000,,,
2022-03-20,TV (English),The Last Kingdom,The Last Kingdom: Season 5,48950000,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",United Kingdom
2022-03-20,TV (English),PIECES OF HER,PIECES OF HER: Season 1,40080000,TV-PG,Crime TV Shows,United States
2022-03-20,TV (English),Inventing Anna,Inventing Anna: Limited Series,39090000,TV-PG,Drama,United States
2022-03-20,TV (English),Formula 1: Drive to Survive,Formula 1: Drive to Survive: Season 4,29020000,TV-MA,Docuseries,United Kingdom
2022-03-20,TV (English),Bad Vegan: Fame. Fraud. Fugitives.,Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,26960000,TV-MA,"Docuseries, Crime TV Show, True Crime Documentaries",United States
2022-03-20,TV (English),Taboo,Taboo: Season 1,24150000,,,
2022-03-20,TV (English),Top Boy,Top Boy: Season 2,21740000,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Brazil
2022-03-20,TV (English),Vikings: Valhalla,Vikings: Valhalla: Season 1,19800000,TV-PG,Action & Adventure,United States
2022-03-20,TV (English),Life After Death with Tyler Henry,Life After Death with Tyler Henry: Season 1,19580000,TV-PG,Documentaries,United States
2022-03-20,TV (English),Good Girls,Good Girls: Season 4,17490000,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",United States
2022-03-20,TV (Non-English),Business Proposal,Business Proposal: Season 1,23480000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-20,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,21040000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-20,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,20210000,TV-MA,Romantic TV Shows,Colombia
2022-03-20,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,17220000,TV-MA,Crime TV Shows,South Korea
2022-03-20,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,13820000,TV-MA,"Horror, Action, Thriller",South Korea
2022-03-20,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,13050000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-20,TV (Non-English),The Great Robbery of Brazil's Central Bank,The Great Robbery of Brazil's Central Bank: Season 1,10880000,TV-MA,Docuseries,Brazil
2022-03-20,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10570000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-03-20,TV (Non-English),Lies and Deceit,Lies and Deceit: Season 1,10040000,TV-PG,Thrillers,Spain
2022-03-20,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,9180000,TV-MA,"Comedies, Romantic TV Shows, TV Dramas",South Korea
